sentence1,sentence2,label
"If the dog is slow, then the rabbit is little.",The dog isn't slow if the rabbit isn't little.,1
the mouse is quiet and the snake is quiet.,The snake and mouse were quiet.,1
the tiger is short and Bob is not funny.,Bob is not funny and the tiger is short.,1
the bear is smart or the tiger is reckless.,The bear is smart or the tiger is reckless.,0
the mouse is not powerful or the bald eagle is not huge.,The mouse is not powerful or the bald eagle is huge.,0
"If Charlie is not dull, then the cat is not big.",Charlie would be dull if the cat was big.,1
"If Fiona is small, then the cat is not tiny.","If Fiona wasn't small, the cat would not be tiny.",0
"If the rabbit is not powerful, then the mouse is not slow.",The rabbit is not powerful or the mouse is slow.,1
"If Bob is not little, then Charlie is tired.",Bob is a little if Charlie isn't tired.,1
"If the squirrel is rough, then the dinosaur is not wealthy.","If dinosaurs were wealthy, squirrels wouldn't be rough.",1
"If the rabbit is not tiny, then Dave is big.",Dave is big or the bunny is tiny.,0
"If the lion is not little, then the cat is slow.","If the cat is not slow, the lion is little.",0
"If Anne is not thin, then the cat is not awful.",Anne would be thin if the cat were awful.,0
"If the wolf is funny, then Bob is not quiet.",wolf is funny or Bob is quiet.,1
"If Erin is tiny, then Harry is not bad.","Harry is not bad, Erin isn't tiny.",0
"If Gary is not high, then the lion is not kind.",If the Lion was kind Gary would be high.,1
"If Bob is strong, then the tiger is sad.","If Bob was weak, the Tiger would not be sad.",1
"If the crocodile is angry, then Charlie is not funny.",Crocodile anger or Charlie not funny...,1
Charlie is not poor or Fiona is wealthy.,Charlie is not poor or Fiona isn't wealthy.,0
"If the cat is awful, then the lion is not bad.",The cat is awful or the lion is not bad.,1
the squirrel is not tired and the cat is not angry.,The squirrel was not tired and the cat was angry.,0
Bob is dull and Alan is not slow.,Alan is not slow and Bob is dull.,1
the rabbit is reckless or the dog is not cute.,The bunny is reckless or the dog cute.,0
Anne is not little and the squirrel is not wealthy.,Anne is not little and the squirrel is wealthy.,0
"If Alan is not little, then the leopard is not powerful.",Alan would be little if the leopard was powerful.,1
the squirrel is not beautiful and the dinosaur is quiet.,The squirrel is not beautiful and the dinosaur is quiet.,0
Erin is angry or Gary is fierce.,Erin was angry or Gary wasn't fierce.,0
Erin is poor and the cat is sad.,The cat is sad and Erin is poor.,1
"If Dave is tired, then Erin is not lovely.",Erin is not lovely if Dave isn't tired.,0
"If Harry is not powerful, then Gary is not thin.",Gary is not thin if Harry is powerful.,0
"If Harry is not huge, then the mouse is rough.",Harry isn't huge or a rough mouse.,1
"If Fiona is huge, then Gary is rough.","If Fiona wasn't huge, Gary would be rough.",0
the leopard is not smart and the wolf is not rough.,The leopard is not smart and the wolf is rough.,0
Alan is big and the squirrel is wealthy.,The squirrel is wealthy and Alan is big.,1
Charlie is tired or Alan is tired.,Alan is tired if Charlie is tired.,1
"If the squirrel is not sleepy, then the bald eagle is not small.","The Bald Eagle is not small, nor is the squirrel sleepy.",1
"If the dog is not heavy, then Harry is smart.","If the dog was heavy, Harry would be smart.",0
the bear is strong or the tiger is huge.,The bears are not weak or the tigers huge.,1
the bear is not awful and Dave is not huge.,Dave is not huge and the bear is not awful.,1
"If Gary is thin, then the bear is nice.","If Gary wasn't thin, a bear would have been nice.",0
"If the bear is not high, then the crocodile is not strong.","If the crocodile is strong, the bear is high.",1
"If the snake is quiet, then the snake is not rough.",The snake is not rough if it is not quiet.,0
"If the snake is not funny, then Anne is not heavy.","If Anne was heavy, the snake would be funny.",0
"If Charlie is not high, then the rabbit is sleepy.",Charlie is high if the bunny isn't sleepy.,1
"If the crocodile is not cute, then the wolf is not rough.",Crocodiles aren't cute or wolves rough.,1
the wolf is not sleepy and Erin is clever.,The wolf was not sleepy and Erin wasn't clever.,0
"If Bob is huge, then the leopard is not wealthy.","The leopard is not wealthy, or Bob huge.",1
"If Anne is not smart, then the rabbit is reckless.","If Anne was smart, the bunny would have been reckless.",0
the lion is not cute and the mouse is not sad.,The lion is not cute and the mouse is sad.,0
"If the leopard is clever, then the cat is not awful.",The cat is not awful unless the leopard is clever.,0
"If the cat is not high, then the rabbit is awful.","If the bunny wasn't awful, the cat would be high.",1
the dog is sleepy or the dog is not smart.,"If the dog is sleepy, it is not smart.",1
Harry is big or the crocodile is bad.,Harry is either big or a crocodile isn't a bad thing.,0
"If Charlie is not slow, then Dave is not tiny.","Dave is not tiny, Charlie is not slow.",1
Gary is sad and the squirrel is tiny.,Gary is sad and the squirrel isn't tiny.,0
"If the wolf is not round, then the snake is not slow.",The wolf isn't round or slow.,1
"If the dinosaur is not dull, then the bear is not nice.",If bears were nice dinosaurs would be dull.,1
Charlie is clever or the dog is not powerful.,"If Charlie was clever, the dog would not be powerful.",1
"If the rabbit is not bad, then the lion is powerful.","If the bunny is bad, the lion is powerful.",0
"If the squirrel is not sleepy, then the bald eagle is not small.","If the Bald Eagle was a small one, the squirrel would be sleepy.",1
"If Harry is tired, then the leopard is not cute.",The leopard is not cute if Harry isn't tired.,0
"If the bear is angry, then the bald eagle is angry.","If the bear isn't angry, then the bald eagle is angry.",0
"If Fiona is high, then the rabbit is little.","If Fiona wasn't high, the bunny would have been little.",0
the snake is not angry or the wolf is not huge.,"If the snake is not angry, the wolf is not huge.",1
"If the wolf is not angry, then the wolf is not thin.",The wolf is not angry or thin.,1
Gary is not tiny and Charlie is not fierce.,Gary is not tiny and Charlie is fierce.,0
the dog is nice and Charlie is sad.,Charlie is sad and the dog is nice.,1
"If the wolf is rough, then Gary is short.",Gary would be short if it wasn't for the rough wolf.,0
"If the lion is high, then the cat is not fierce.",Lions are high or cats are not fierce.,1
"If the dinosaur is not little, then the bald eagle is not strong.","The Bald Eagle is not strong, the dinosaur is not little.",1
"If the snake is strong, then the snake is huge.",The snake is huge if weak.,0
the tiger is beautiful or the wolf is slow.,Tigers aren't ugly or wolves slow.,1
"If the lion is not dull, then the bald eagle is awful.",The bald eagle is awful when the lion is dull.,0
Gary is not big or the lion is not smart.,Gary is not big or smart as a lion.,0
Fiona is dull and the bald eagle is beautiful.,Fiona is dull and the bald eagle is ugly.,1
"If Bob is boring, then Dave is not bad.","If Dave is bad, Bob is not boring.",0
the rabbit is not boring and Harry is not high.,The rabbit is not boring and Harry is high.,0
the tiger is not huge and Alan is not dull.,Alan is not dull and the tiger is not huge.,1
the snake is not strong and the dog is sleepy.,The dog is sleepy and the snake is not strong.,1
the cat is not high or the wolf is not rough.,"If the cat is not high, the wolf will not be rough.",1
"If the wolf is not short, then Alan is lazy.",Alan is lazy or wolf short.,1
"If the dinosaur is poor, then the snake is sad.",The dinosaurs are not poor unless the snake is sad.,1
Bob is round and the bear is angry.,Bob was not round and unangry with the bear.,1
"If the snake is not short, then Harry is not cute.",Harry is not cute if the snake is short.,0
the leopard is not bad or the lion is not reckless.,The leopard is not bad or the lion is reckless.,0
"If the cat is not funny, then the rabbit is reckless.","If the cat is funny, the bunny is reckless.",0
Fiona is lazy and Gary is not strong.,Gary is not strong and Fiona is lazy.,1
the dog is short and Alan is powerful.,The dog is short and Alan isn't powerful.,0
"If Erin is not kind, then the cat is smart.",Erin isn't kind or smart.,1
Gary is not short or Bob is not small.,"If Gary is not short, then Bob is not small.",1
the dog is poor or the tiger is strong.,Poor dog or weak tiger.,0
Gary is sad or the squirrel is tiny.,"If Gary is sad, the squirrel is tiny.",1
Gary is not bad or the mouse is sad.,"If Gary wasn't bad, the mouse would not be sad.",1
the wolf is dull and the crocodile is not beautiful.,The wolf is dull and the crocodile is beautiful.,0
"If Harry is sad, then the wolf is heavy.","Harry is sad, if not heavy.",1
the wolf is not smart or the tiger is not lazy.,The wolf is not smart or the tiger lazy.,0
the dinosaur is not powerful and Alan is reckless.,The dinosaur is not powerful and Alan is not reckless.,0
the mouse is heavy and the lion is sad.,The lion is sad and the mouse heavy.,1
"If the wolf is lazy, then Gary is nice.",The wolf isn't lazy if Gary isn't nice.,1
the squirrel is not sleepy or Anne is boring.,Anne would be boring if the squirrel was not sleepy.,1
Harry is dull or Fiona is angry.,Harry is dull or Fiona is unangry.,0
the lion is short and the snake is not tired.,The lion is short and the snake is tired.,0
the bear is not reckless or the bear is poor.,"If the bear was not reckless, it would be poor.",1
"If Dave is not clever, then Anne is not reckless.","If Anne was reckless, Dave would have been clever.",1
the dog is not rough and Charlie is short.,Charlie is short and the dog is not rough.,1
"If the rabbit is not rough, then Fiona is not big.","If Fiona was big, it would be rough for a rabbit.",1
the rabbit is slow or Fiona is heavy.,Fiona would be heavy if the bunny was slow.,1
"If Gary is funny, then the wolf is sad.",Gary is funny or sad about the Wolf.,1
Alan is not high and Fiona is not awful.,Alan was not high and Fiona was awful.,0
the lion is lovely and Fiona is rough.,Fiona is rough and the lion is lovely.,1
the rabbit is not strong and the dog is angry.,The dog was angry and the rabbit was not strong.,1
the dog is kind and Dave is furry.,Dave is furry and the dog is kind.,1
the squirrel is not bad and the rabbit is not small.,The rabbit is not small and the squirrel is not bad.,1
the dog is powerful and the snake is reckless.,The snake is reckless and the dog is powerful.,1
the snake is not rough and the mouse is not dull.,The mouse is not dull and the snake is not rough.,1
"If the wolf is round, then Anne is slow.",Anne would be slow if the wolf wasn't round.,0
"If the rabbit is not smart, then Harry is awful.",Harry is awful if the bunny is smart.,0
Charlie is rough and Fiona is not big.,Charlie is rough and Fiona is big.,0
"If Gary is not heavy, then the crocodile is awful.",The crocodile is awful if Gary is heavy.,0
the cat is reckless or the squirrel is not big.,"If the cat is reckless, the squirrel is not big.",1
"If Fiona is cute, then the dinosaur is heavy.","If Fiona wasn't cute, the dinosaur would be heavy.",0
"If Gary is not horrible, then Harry is small.","If Harry were not small, Gary would have been horrible.",0
the tiger is kind or the squirrel is poor.,"If the tiger was kind, the squirrel would be poor.",1
the wolf is boring and Fiona is not sleepy.,The wolf was boring and Fiona was sleepy.,0
Bob is high and the crocodile is fierce.,Bob is high and the crocodile isn't fierce.,0
the bald eagle is little and Fiona is not big.,Fiona is not big and the bald eagle is little.,1
Alan is wealthy or the dinosaur is not kind.,"If Alan was wealthy, he would not be a kind dinosaur.",1
the lion is tiny and Alan is not clever.,The lion is tiny and Alan is clever.,0
the bald eagle is lovely and Gary is bad.,Gary is bad and the Bald Eagle is lovely.,1
"If the squirrel is small, then Fiona is not quiet.",Fiona would not have been quiet if the squirrel wasn't small.,0
the lion is not tired and the mouse is not little.,The mouse is not little and the lion is not tired.,1
the wolf is not funny and the tiger is not horrible.,Tigers are not horrible and wolves are not funny.,1
the lion is powerful.,The Lion is not powerless.,1
Gary is awful or the crocodile is dull.,Gary is awful or the crocodile is dull.,0
"If the bald eagle is not small, then the dog is tired.",The bald eagle is small if the dog isn't tired.,1
"If Harry is high, then the crocodile is not strong.",Harry would not be high if the crocodile was strong.,1
"If the cat is bad, then Charlie is not sleepy.",Charlie is not sleepy if the cat isn't bad.,0
the tiger is small or Bob is not slow.,The tiger is small or Bob slow.,0
the lion is not powerful or the dinosaur is not bad.,The lion is not powerful or the dinosaur is bad.,0
the leopard is clever and Anne is not little.,Anne is not little and the leopard is clever.,1
Bob is not dull and the rabbit is heavy.,The rabbit is heavy and Bob is not dull.,1
Anne is smart or Erin is not small.,Anne is smart or Erin is small.,0
"If Fiona is not sleepy, then Alan is sad.","If Fiona was sleepy, Alan would have been sad.",0
"If the rabbit is huge, then Anne is not kind.",Anne is not kind if the rabbit isn't huge.,0
"If the dog is not wealthy, then Erin is cute.","If the dog was wealthy, Erin would be cute.",0
"If the rabbit is not sleepy, then Alan is not sleepy.",Alan is not sleepy if the bunny is sleepy.,0
Bob is tiny and the wolf is reckless.,The wolf is reckless and Bob is tiny.,1
"If the leopard is not wealthy, then the bald eagle is not slow.",Bald Eagle Not Slow or Leopard Not Wealthy,1
the rabbit is not boring or Harry is not high.,Harry is not high if the rabbit is not bored.,1
Gary is not furry and Harry is furry.,Harry is furry and Gary is not.,1
the rabbit is small and the wolf is powerful.,The rabbit is small and the wolf isn't powerful.,0
"If Bob is not furry, then Dave is kind.","If Bob was furry, Dave would be kind.",0
the crocodile is not sad and the snake is not rough.,The snake is not rough and the crocodile is not sad.,1
"If the squirrel is little, then the snake is not kind.","If the squirrel wasn't little, the snake wouldn't be kind.",0
"If the dinosaur is not nice, then the snake is dull.",A dinosaur would be nice if the snake wasn't dull.,1
the dog is powerful or the snake is reckless.,"If the dog is powerful, the snake is reckless.",1
"If the dinosaur is tiny, then the mouse is heavy.","If the mouse wasn't heavy, the dinosaur wouldn't be tiny.",0
"If the cat is slow, then Charlie is not kind.",Charlie is not kind to cats that are slow.,0
"If Erin is not rough, then the dog is strong.","The dog is strong, Erin rough.",0
the tiger is strong or the bald eagle is not rough.,Tiger strong or bald eagle rough,0
the cat is not lazy and the snake is not big.,The snake is not big and the cat is not lazy.,1
Fiona is dull and the tiger is sleepy.,Fiona was dull and the tiger was sleepy.,0
the wolf is furry or the leopard is not small.,"If a wolf is furry, the leopard is not small.",1
"If Fiona is sad, then the dinosaur is round.","If the dinosaurs weren't round, Fiona wouldn't be sad.",1
the lion is not fierce or Harry is not furry.,The lion is not fierce or Harry furry.,0
"If the dinosaur is not furry, then the leopard is sleepy.","If the dinosaur was furry, the leopard would be sleepy.",0
"If the lion is not angry, then the snake is not powerful.",The snake is not powerful if the lion is angry.,0
the lion is angry or the cat is furry.,"If the lion is angry, the cat is furry.",1
"If Erin is rough, then the mouse is nice.","If Erin wasn't rough, a mouse would have been nice.",0
Erin is not clever and Erin is awful.,Erin is awful and not clever.,1
the leopard is not heavy and the tiger is furry.,The leopard is not heavy and the tiger is not furry.,0
the wolf is angry and the cat is smart.,Wolf unangry and cat smart.,0
"If the squirrel is fierce, then the lion is dull.",The lion would be dull if the squirrel wasn't fierce.,0
the crocodile is short or Erin is not bad.,Crocodile short or bad for Erin.,0
"If Harry is thin, then the rabbit is not slow.","If Harry wasn't thin, the bunny would not be slow.",0
"If the snake is not cute, then the leopard is quiet.",The snake is cute if the leopard isn't quiet.,1
"If the cat is not sleepy, then the cat is not round.","If the cat was round, it would be sleepy.",1
Bob is sleepy or the crocodile is lazy.,Bob is sleepy or the crocodile isn't lazy.,0
the crocodile is lovely and Anne is not powerful.,Anne is not powerful and the crocodile is lovely.,1
"If the squirrel is not lazy, then the dinosaur is funny.",The dinosaur is funny if the squirrel is lazy.,0
the dog is not powerful or the cat is not funny.,Not powerful a dog or funny a cat.,0
the snake is rough and Charlie is not furry.,Charlie is not furry and the snake is rough.,1
the cat is not quiet or the squirrel is not slow.,"If the cat is not quiet, the squirrel will not be slow.",1
the tiger is dull and the lion is not short.,The lion is not short and the tiger is dull.,1
the squirrel is quiet or Charlie is not clever.,The squirrel was quiet or clever Charlie.,0
the wolf is rough and Fiona is not quiet.,The wolf was rough and Fiona was quiet.,0
"If the dinosaur is not tiny, then Alan is clever.",Alan would be clever if a dinosaur were tiny.,0
"If the bald eagle is not thin, then Bob is tired.","If Bob isn't tired, the bald eagle will be thin.",1
"If Erin is not poor, then Charlie is not angry.","If Erin is not poor, Charlie will not be angry.",0
the mouse is not sad or the squirrel is rough.,"If the mouse is not sad, the squirrel will be rough.",1
the bear is dull or Bob is not horrible.,The bear is dull or Bob is horrible.,0
Harry is not beautiful or Alan is not dull.,Alan would not be dull if Harry were not beautiful.,1
"If Harry is beautiful, then the bald eagle is not dull.",Harry would not be beautiful if the bald eagle was dull.,0
"If the cat is not reckless, then the tiger is not furry.","If a tiger is furry, the cat is reckless.",1
the tiger is little and the squirrel is strong.,The tiger is little and the squirrel is weak.,0
"If the bald eagle is not dull, then the squirrel is not quiet.",Bald Eagles aren't dull or squirrels are quiet.,1
"If Gary is slow, then the bald eagle is reckless.",Gary is slow or the bald eagle is reckless.,1
Harry is boring or Anne is cute.,Harry is boring or Anne isn't cute.,0
Erin is angry and Gary is fierce.,Gary is fierce and Erin is angry.,1
"If the lion is not little, then the cat is slow.","The cat is slow, the lion is not little.",1
Harry is heavy and the wolf is not lovely.,The wolf is not lovely and Harry is heavy.,1
"If the lion is heavy, then the tiger is round.",Lions are heavy or tigers round.,1
"If Charlie is awful, then Dave is tired.","If Charlie wasn't awful, Dave would get tired.",0
Erin is round and Gary is round.,Erin is round and Gary isn't.,0
"If Charlie is little, then Fiona is not short.","If Charlie wasn't little, Fiona would not be short.",0
the dog is not tired and Charlie is not tired.,The dog is not tired and Charlie is tired.,0
the wolf is high and the wolf is quiet.,The wolf was high and quiet.,0
"If the mouse is rough, then the snake is not rough.",The mouse is not rough if the snake is.,1
the cat is not big and the bald eagle is powerful.,The cat is not big and the bald eagle is not powerful.,0
"If the tiger is not clever, then Gary is not tired.",Gary is not tired if the tiger is clever.,0
the mouse is dull and Harry is not tired.,The mouse is dull and Harry is tired.,0
the bald eagle is not angry or the bald eagle is not wealthy.,Bald Eagles are not angry or wealthy.,0
"If Fiona is not powerful, then the bear is heavy.",Fiona is not powerful or heavy.,1
"If the tiger is poor, then the leopard is not clever.",The leopard is not clever if the tiger is poor.,0
the dog is angry and the mouse is powerful.,The dog was angry and the mouse was unpowerful.,0
the bear is little or Charlie is not cute.,The bear is little or Charlie is cute.,0
the leopard is not little and the tiger is dull.,The leopard is not little and the tiger is not dull.,0
"If the squirrel is nice, then the wolf is small.",The wolf is small if the squirrel isn't nice.,0
"If the bald eagle is poor, then the squirrel is angry.","If the bald eagle is poor, the squirrel is unangry.",1
the crocodile is not rough and the lion is angry.,Lion angry and crocodile rough.,1
the squirrel is not big or the squirrel is not fierce.,The squirrel is not big or fierce.,0
the wolf is not small and the bear is not sad.,The wolf was not small and the bear was sad.,0
the squirrel is sad and Anne is not awful.,Anne is not awful and the squirrel is sad.,1
the leopard is dull or the crocodile is not beautiful.,The crocodile is not beautiful if the leopard is dull.,1
Gary is beautiful and the dinosaur is cute.,Gary is beautiful and the dinosaur isn't cute.,0
"If the bear is not beautiful, then Charlie is not funny.",Charlie is not funny if the bear is beautiful.,0
"If Fiona is reckless, then Alan is beautiful.",Fiona was reckless or Alan beautiful.,1
Fiona is sad or Erin is not cute.,Fiona is sad or Erin cute.,0
the bear is nice or Fiona is not powerful.,"If the bear was nice, Fiona would not be powerful.",1
"If Charlie is not kind, then Anne is not dull.",Charlie would be kind if Anne was dull.,0
Fiona is high or the crocodile is small.,Fiona was high or the crocodile was small.,0
the wolf is bad and the rabbit is high.,The wolf was bad and the rabbit was not high.,0
Gary is rough or Harry is not dull.,Harry would not be dull if Gary were rough.,1
the mouse is rough and the dog is clever.,The mouse is rough and the dog isn't clever.,0
the bear is high and the crocodile is not dull.,Crocodiles are not dull and bears are high.,1
Harry is not angry or Erin is tiny.,"If Harry was not angry, Erin would have been tiny.",1
"If the squirrel is not poor, then the rabbit is not smart.","If the bunny was smart, the squirrel would be poor.",1
the dinosaur is strong and Anne is not round.,The dinosaur is strong and Anne is round.,0
the tiger is cute or Gary is tiny.,The tiger is cute or Gary isn't tiny.,0
Charlie is not round and Dave is not slow.,Dave was not slow and Charlie was not round.,1
"If the bear is not sleepy, then Charlie is not fierce.",Charlie is not fierce or a sleepy bear.,1
"If the rabbit is bad, then the lion is not poor.","If the lion is poor, the rabbit is not bad.",1
"If Dave is not furry, then the tiger is angry.",If the Tiger wasn't angry Dave would be furry.,1
the rabbit is not tiny or the bear is not wealthy.,Bunny not tiny or a wealthy bear.,0
Erin is dull and Fiona is not cute.,Fiona is not cute and Erin is dull.,1
Bob is rough and the dinosaur is tired.,Bob is rough and the dinosaur isn't tired.,0
Alan is not heavy and the rabbit is sleepy.,Alan is not heavy and the rabbit isn't sleepy.,0
"If the squirrel is not short, then the tiger is not thin.",A tiger is not thin if a squirrel is short.,0
Gary is not sleepy or the mouse is not nice.,"If Gary is not sleepy, the mouse is not nice.",1
"If Anne is lazy, then the tiger is boring.","If Anne wasn't lazy, the tiger would be bored.",0
the rabbit is not rough or Harry is furry.,"Not rough bunnies, or Harry furry.",0
"If Charlie is dull, then the mouse is dull.","The mouse is dull, Charlie is dull.",1
"If the rabbit is not round, then Harry is high.","If Harry was not high, the rabbit would have been round.",1
"If Harry is not dull, then Bob is strong.",Harry would be dull if not strong.,1
"If the cat is not reckless, then the tiger is not furry.","The tiger is not furry, the cat is reckless.",0
"If Fiona is tired, then the bald eagle is fierce.","If Fiona isn't tired, the Bald Eagle is fierce.",0
"If the dog is not smart, then the leopard is not small.","If the leopard is small, the dog is smart.",1
"If the tiger is not rough, then the tiger is not smart.",Tigers aren't rough or smart.,1
Bob is not strong or the tiger is huge.,Bob is not strong or the tiger isn't huge.,0
"If Bob is cute, then the rabbit is not smart.","If the bunny was smart, Bob wouldn't be cute.",1
the squirrel is cute and the tiger is not tiny.,The squirrel is cute and the tiger is tiny.,0
"If Fiona is funny, then Alan is not heavy.",Alan is not heavy if Fiona isn't funny.,0
"If the tiger is not little, then Bob is reckless.","If the tiger was little, Bob would have been reckless.",0
the mouse is not high or the leopard is small.,The mouse is not high or the leopard is not small.,0
the dog is lovely or Harry is rough.,"The dog is lovely, or Harry is rough, or both.",0
the squirrel is not bad and the rabbit is not small.,Not a bad squirrel and a small rabbit.,0
"If Erin is strong, then the dinosaur is not bad.",Whether Erin is strong or a dinosaur isn't bad.,1
the lion is strong or the dog is not cute.,The lion is strong or the dog is cute.,0
Bob is not lazy and the dinosaur is not small.,Bob is not lazy and the dinosaur is small.,0
"If Harry is kind, then the wolf is round.",Harry isn't kind to the wolves round him.,1
"If the squirrel is reckless, then the bald eagle is not little.",The Bald Eagle is not a little unless the squirrel is reckless.,0
the squirrel is reckless or Alan is angry.,The squirrel was reckless or Alan was not angry.,0
the mouse is big and the tiger is not beautiful.,The mouse is big and the tiger is beautiful.,0
"If Gary is not sleepy, then the wolf is not slow.",The wolf is not slow if Gary is sleepy.,0
the dog is bad or the wolf is not clever.,Bad dog or clever wolf.,0
"If the rabbit is not strong, then the rabbit is round.","If the bunny wasn't round, he'd be strong.",1
"If the snake is not sleepy, then the squirrel is sad.",The snake isn't sleepy or the squirrel is sad.,1
the tiger is slow or Dave is tired.,"If the Tiger is slow, Dave is tired.",1
Fiona is not quiet or the crocodile is not kind.,"If Fiona was not quiet, the crocodile would not have been kind.",1
Anne is not sad and the crocodile is not smart.,Anne is not sad and the crocodile is smart.,0
the bald eagle is boring or the tiger is smart.,Banned Eagles are boring or tigers aren't smart.,0
"If the tiger is not reckless, then the leopard is dull.","If the leopard is not dull, the tiger is reckless.",0
"If Anne is wealthy, then the squirrel is sleepy.",Anne isn't wealthy unless the squirrel is sleepy.,1
Gary is huge and the tiger is lazy.,Gary is huge and the tiger isn't lazy.,0
"If Anne is not wealthy, then Bob is not funny.","If Anne was wealthy, Bob would not be funny.",0
the lion is huge or the snake is not huge.,The lion is huge or the snake is huge.,0
"If the dog is strong, then the dog is angry.","If the dog is weak, then it will be angry.",1
the tiger is little and the squirrel is strong.,The tiger is little and the squirrel is weak.,0
"If Erin is not beautiful, then Anne is not rough.",Anne would not be rough if Erin were beautiful.,0
the rabbit is not reckless or the dinosaur is furry.,Bunnies are not reckless or dinosaurs are not furry.,0
"If the squirrel is round, then the mouse is dull.",The squirrel is round or the mouse dull.,1
the bear is not angry or the bald eagle is big.,"If the bear is not angry, the bald eagle is big.",1
"If Alan is not beautiful, then Anne is quiet.",Alan would be beautiful without Anne being quiet.,1
the rabbit is sleepy or the crocodile is not small.,Bunny sleepy or crocodile small.,0
"If Dave is big, then the squirrel is not quiet.",If the squirrels were quiet Dave wouldn't be big.,1
the dinosaur is not reckless or Fiona is not nice.,"If the dinosaur was not reckless, Fiona would not have been nice.",1
"If the lion is awful, then the dinosaur is not sleepy.",The lion isn't awful if the dinosaurs are sleepy.,1
the lion is tired or Alan is not lovely.,The lion is tired or Alan is lovely.,0
Anne is funny or the rabbit is boring.,Anne is funny or the rabbit isn't boring.,0
the crocodile is not tired and Anne is not beautiful.,Crocodiles are not tired and Anne is beautiful.,0
"If the snake is boring, then the crocodile is lovely.",Snakes are boring or crocodiles are lovely.,1
"If the cat is not nice, then Harry is not slow.",Harry is not slow or the cat is nice.,0
the bald eagle is not fierce or Bob is quiet.,"If the Bald Eagle was not fierce, Bob would have been quiet.",1
"If Charlie is smart, then the rabbit is not strong.",Charlie is not smart if the bunny is strong.,1
"If Fiona is sleepy, then Erin is round.",Fiona is sleepy or Erin is round.,1
"If the bear is not tiny, then the lion is not boring.",If a lion bore a bear it would be tiny.,0
Charlie is tired or Alan is tired.,Charlie is tired or Alan isn't.,0
"If the wolf is clever, then the bear is wealthy.","The bear is wealth, the wolf is clever.",1
the cat is rough or the bald eagle is reckless.,The cat is rough or the Bald Eagle is reckless.,0
the tiger is not heavy and Bob is not rough.,Bob is not rough and the tiger is not heavy.,1
the lion is not lovely or Anne is clever.,The lion is not lovely or clever Anne.,0
"If Charlie is not heavy, then the crocodile is clever.","If Charlie was heavy, the crocodile would have been clever.",0
"If the rabbit is lovely, then Gary is angry.","If Gary wasn't angry, the bunny wouldn't be lovely.",1
Anne is not beautiful or Charlie is not dull.,Charlie would not be dull if Anne was not beautiful.,1
the wolf is not fierce or the cat is not dull.,The cat is not dull if the wolf is not fierce.,1
Bob is not rough and the dog is not bad.,Bob is not rough and the dog is bad.,0
the mouse is powerful.,The mouse is powerless.,0
"If the snake is not heavy, then the bald eagle is furry.",The Bald Eagle is furry when a snake is heavy.,0
"If the tiger is not tiny, then Alan is not awful.",Alan is not awful if a tiger is tiny.,0
Fiona is kind and Charlie is powerful.,Charlie is powerful and Fiona is kind.,1
the squirrel is not funny and the bald eagle is reckless.,The bald eagle is reckless and the squirrel is not funny.,1
the squirrel is not awful and the bald eagle is not heavy.,The squirrel is not awful and the bald eagle is heavy.,0
the bear is powerful and the cat is nice.,"Bears are powerless, cats are nice.",1
the tiger is furry and Charlie is not furry.,"Tiger, Charlie, furry.",0
"If the mouse is lazy, then the bear is slow.","If the bear isn't slow, the mouse isn't lazy.",1
"If Bob is slow, then the wolf is not beautiful.","If the Wolf was beautiful, Bob wouldn't have been slow.",1
"If the crocodile is dull, then the squirrel is strong.",The crocodile wouldn't be dull if the squirrel wasn't strong.,0
the wolf is poor or the mouse is not strong.,"If the wolf was poor, the mouse would not be strong.",1
Dave is not huge or the bald eagle is tired.,"If Dave is not huge, then the bald eagle is tired.",1
"If Gary is fierce, then the cat is beautiful.","If Gary wasn't fierce, the cat would be beautiful.",0
"If Harry is not sad, then Alan is not angry.",Harry isn't sad or angry with Alan.,1
"If the rabbit is wealthy, then Anne is not high.","If Anne was high, the rabbit wouldn't be wealthy.",1
the dog is lovely and Harry is rough.,The dog was lovely and Harry wasn't rough.,0
Erin is not dull or Harry is powerful.,Erin is not dull or Harry powerful.,0
"If Gary is fierce, then the cat is beautiful.",Gary is fierce or the cat is beautiful.,1
"If Charlie is not angry, then the snake is not horrible.","If Charlie was angry, the snake would not have been horrible.",0
"If the squirrel is quiet, then Dave is not quiet.","The squirrels were quiet, or Dave wasn't.",1
"If Dave is not big, then the dinosaur is not reckless.","If Dave were big, the dinosaur would not be reckless.",0
"If Bob is not kind, then Harry is not furry.","If Harry was furry, Bob would have been kind.",0
the leopard is not dull and the snake is not dull.,The snake is not dull and the leopard is not dull.,1
"If the squirrel is not fierce, then the dog is not boring.","The dog is not boring, the squirrel is fierce.",0
"If the cat is strong, then the rabbit is not awful.",Whether the cat is strong or the bunny isn't awful.,1
the cat is not smart or Gary is strong.,"The cat is not smart or strong, Gary is not.",0
the dog is dull and Harry is slow.,The dog is dull and Harry isn't slow.,0
"If Erin is dull, then the bald eagle is not rough.",The BSE is not rough unless Erin is dull.,0
Charlie is sad and the squirrel is powerful.,Charlie is sad and the squirrel is powerless.,0
the cat is dull or the squirrel is not furry.,"If the cat is dull, the squirrel is not furry.",1
"If the lion is not nice, then Dave is tired.","Nice lion, if Dave isn't tired.",1
