,Original_Sentence,Parsed_Sentence,LReasoner_generated
2957,"If the leopard is not huge, then Dave is not powerful.","(S (SBAR (IN If) (S (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ huge)))))) (, ,) (ADVP (RB then)) (NP (NNP Dave)) (VP (VBZ is) (RB not) (ADJP (JJ powerful))) (. .))","If it is huge, then it will be not the leopard."
2958,"If the bear is quiet, then the dog is little.","(S (SBAR (IN If) (S (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ quiet))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ little))) (. .))","If it is not quiet, then it will be not the bear."
2959,"If the bear is not rough, then Gary is not poor.","(S (SBAR (IN If) (S (NP (DT the) (NN bear)) (VP (VBZ is) (RB not) (ADJP (JJ rough))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (RB not) (ADJP (JJ poor))) (. .))","If it is rough, then it will be not the bear."
2960,the leopard is angry and Gary is not wealthy.,(S (S (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ angry)))) (CC and) (S (NP (NNP Gary)) (VP (VBZ is) (RB not) (ADJP (JJ wealthy)))) (. .)),"If it is not angry, then it will be not the leopard."
2961,"If Gary is sleepy, then Bob is funny.","(S (SBAR (IN If) (S (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ sleepy))))) (, ,) (ADVP (RB then)) (NP (NNP Bob)) (VP (VBZ is) (ADJP (JJ funny))) (. .))","If it is not sleepy, then it will be not Gary."
2962,Gary is not dull or Charlie is nice.,(S (NP (NNP Gary)) (VP (VBZ is) (RB not) (ADJP (JJ dull)) (CC or) (NP (NNP Charlie)) (VP (VBZ is) (ADJP (JJ nice)))) (. .)),"If it is dull or Charlie is nice, then it will be not Gary."
2963,the squirrel is angry and the snake is not dull.,(S (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (ADJP (JJ angry)))) (CC and) (S (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ dull)))) (. .)),"If it is not angry, then it will be not the squirrel."
2964,the leopard is wealthy or the bald eagle is wealthy.,(S (S (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ wealthy)))) (CC or) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ wealthy)))) (. .)),"If it is not wealthy, then it will be not the leopard."
2965,the wolf is not quiet and Fiona is powerful.,(S (S (NP (DT the) (NN wolf)) (VP (VBZ is) (RB not) (ADJP (JJ quiet)))) (CC and) (S (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ powerful)))) (. .)),"If it is quiet, then it will be not the wolf."
2966,"If the dinosaur is not lovely, then the rabbit is little.","(S (SBAR (IN If) (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ lovely)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ little))) (. .))","If it is lovely, then it will be not the dinosaur."
2967,the mouse is wealthy or the dinosaur is powerful.,(S (S (NP (DT the) (NN mouse)) (VP (VBZ is) (ADJP (JJ wealthy)))) (CC or) (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (JJ powerful)))) (. .)),"If it is not wealthy, then it will be not the mouse."
2968,the mouse is round and the bald eagle is thin.,(S (S (NP (DT the) (NN mouse)) (VP (VBZ is) (ADJP (JJ round)))) (CC and) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ thin)))) (. .)),"If it is not round, then it will be not the mouse."
2969,"If the bear is small, then the tiger is cute.","(S (SBAR (IN If) (S (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ small))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ cute))) (. .))","If it is not small, then it will be not the bear."
2970,"If the tiger is not small, then the bald eagle is not thin.","(S (SBAR (IN If) (S (NP (DT the) (NN tiger)) (VP (VBZ is) (RB not) (ADJP (JJ small))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ thin))) (. .))","If it is small, then it will be not the tiger."
2971,the bald eagle is not rough or the dog is not poor.,(S (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (NP (JJ rough)))) (CC or) (S (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ poor)))) (. .)),"If it is rough, then it will be not the bald eagle."
2972,the cat is dull and the bald eagle is not big.,(S (S (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ dull)))) (CC and) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ big)))) (. .)),"If it is not dull, then it will be not the cat."
2973,the bald eagle is not tired and Gary is horrible.,(S (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ tired)))) (CC and) (S (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ horrible)))) (. .)),"If it is tired, then it will be not the bald eagle."
2974,the dinosaur is not clever and the wolf is awful.,(S (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (RB not) (ADJP (JJ clever)))) (CC and) (S (NP (DT the) (NN wolf)) (VP (VBZ is) (ADJP (JJ awful)))) (. .)),"If it is clever, then it will be not the dinosaur."
2975,"If the dinosaur is tiny, then the mouse is heavy.","(S (SBAR (IN If) (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (JJ tiny))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (ADJP (JJ heavy))) (. .))","If it is not tiny, then it will be not the dinosaur."
2976,Erin is dull or the leopard is not angry.,(S (S (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ dull)))) (CC or) (S (NP (DT the) (NN leopard)) (VP (VBZ is) (RB not) (ADJP (JJ angry)))) (. .)),"If it is not dull, then it will be not Erin."
2977,the wolf is wealthy or Fiona is poor.,(S (NP (DT the) (NN wolf)) (VP (VBZ is) (ADJP (JJ wealthy))) (CC or) (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ poor))) (. .)),"If it is not wealthy, then it will be not the wolf."
2978,"If the cat is not beautiful, then the dinosaur is not little.","(S (SBAR (IN If) (S (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ beautiful)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dinosaur)) (VP (VBZ is) (RB not) (JJ little)) (. .))","If it is beautiful, then it will be not the cat."
2979,the lion is not sad and Gary is high.,(S (S (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ sad))))) (CC and) (S (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ high)))) (. .)),"If it is sad, then it will be not the lion."
2980,"If the dinosaur is not rough, then Erin is lazy.","(S (SBAR (IN If) (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (RB not) (ADJP (JJ rough))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ lazy))) (. .))","If it is rough, then it will be not the dinosaur."
2981,Bob is not little or the snake is not big.,(S (NP (NNP Bob)) (VP (VBZ is) (RB not) (NP (JJ little))) (CC or) (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ big))) (. .)),"If it is little, then it will be not Bob."
2982,"If the snake is sleepy, then the dinosaur is sad.","(S (SBAR (IN If) (S (NP (DT the) (NN snake)) (VP (VBZ is) (ADJP (JJ sleepy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (JJ sad))) (. .))","If it is not sleepy, then it will be not the snake."
2983,the bald eagle is rough and the wolf is not reckless.,(S (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ rough)))) (CC and) (S (NP (DT the) (NN wolf)) (VP (VBZ is) (RB not) (ADJP (JJ reckless)))) (. .)),"If it is not rough, then it will be not the bald eagle."
2984,"If the rabbit is short, then the bald eagle is not awful.","(S (SBAR (IN If) (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ short))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ awful))) (. .))","If it is not short, then it will be not the rabbit."
2985,the dog is not boring and Charlie is sleepy.,(S (S (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ boring))))) (CC and) (S (NP (NNP Charlie)) (VP (VBZ is) (ADJP (JJ sleepy)))) (. .)),"If it is boring, then it will be not the dog."
2986,Gary is not wealthy and the wolf is not high.,(S (S (NP (NNP Gary)) (VP (VBZ is) (RB not) (ADJP (JJ wealthy)))) (CC and) (S (NP (DT the) (NN wolf)) (VP (VBZ is) (RB not) (ADJP (JJ high)))) (. .)),"If it is wealthy, then it will be not Gary."
2987,"If the bald eagle is rough, then the squirrel is rough.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ rough))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN squirrel)) (VP (VBZ is) (ADJP (JJ rough))) (. .))","If it is not rough, then it will be not the bald eagle."
2988,"If Anne is smart, then Anne is awful.","(S (SBAR (IN If) (S (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ smart))))) (, ,) (ADVP (RB then)) (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ awful))) (. .))","If it is not smart, then it will be not Anne."
2989,"If Bob is not smart, then the bear is not boring.","(S (SBAR (IN If) (S (NP (NNP Bob)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ smart)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (RB not) (ADJP (JJ boring))) (. .))","If it is smart, then it will be not Bob."
2990,Harry is not bad or the dog is not big.,(S (S (NP (NNP Harry)) (VP (VBZ is) (RB not) (ADJP (JJ bad)))) (CC or) (S (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ big)))) (. .)),"If it is bad, then it will be not Harry."
2991,"If the crocodile is powerful, then Erin is kind.","(S (SBAR (IN If) (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (ADJP (JJ powerful))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ kind))) (. .))","If it is not powerful, then it will be not the crocodile."
2992,Charlie is fierce or Fiona is fierce.,(S (NP (NNP Charlie)) (VP (VBZ is) (ADJP (JJ fierce))) (CC or) (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ fierce))) (. .)),"If it is not fierce, then it will be not Charlie."
2993,"If Charlie is not powerful, then Gary is furry.","(S (SBAR (IN If) (S (NP (NNP Charlie)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ powerful)))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ furry))) (. .))","If it is powerful, then it will be not Charlie."
2994,Charlie is not dull and Bob is lovely.,(S (S (NP (NNP Charlie)) (VP (VBZ is) (RB not) (ADJP (JJ dull)))) (CC and) (S (NP (NNP Bob)) (VP (VBZ is) (ADJP (JJ lovely)))) (. .)),"If it is dull, then it will be not Charlie."
2995,the leopard is not rough or Anne is not awful.,(S (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ rough)))) (CC or) (NP (NNP Anne)) (VP (VBZ is) (RB not) (ADJP (JJ awful))) (. .)),"If it is rough, then it will be not the leopard."
2996,Charlie is not sad and the mouse is not high.,(S (S (NP (NNP Charlie)) (VP (VBZ is) (RB not) (ADJP (JJ sad)))) (CC and) (S (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ high)))) (. .)),"If it is sad, then it will be not Charlie."
2997,Alan is dull and Charlie is not little.,(S (S (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ dull)))) (CC and) (S (NP (NNP Charlie)) (VP (VBZ is) (RB not) (NP (JJ little)))) (. .)),"If it is not dull, then it will be not Alan."
2998,"If Fiona is dull, then the dinosaur is not nice.","(S (SBAR (IN If) (S (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ dull))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dinosaur)) (VP (VBZ is) (RB not) (ADJP (JJ nice))) (. .))","If it is not dull, then it will be not Fiona."
2999,Dave is big or the lion is angry.,(S (S (NP (NNP Dave)) (VP (VBZ is) (ADJP (JJ big)))) (CC or) (S (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (JJ angry)))) (. .)),"If it is not big, then it will be not Dave."
3000,the rabbit is kind and Gary is powerful.,(S (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ kind)))) (CC and) (S (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ powerful)))) (. .)),"If it is not kind, then it will be not the rabbit."
3001,Gary is not angry or the snake is not little.,(S (S (NP (NNP Gary)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ angry))))) (CC or) (S (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (NP (JJ little)))) (. .)),"If it is angry, then it will be not Gary."
3002,"If the dinosaur is not little, then the bald eagle is not strong.","(S (SBAR (IN If) (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (RB not) (NP (JJ little)))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ strong))) (. .))","If it is little, then it will be not the dinosaur."
3003,the bear is not small and the squirrel is not clever.,(S (S (NP (DT the) (NN bear)) (VP (VBZ is) (RB not) (ADJP (JJ small)))) (CC and) (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ clever)))) (. .)),"If it is small, then it will be not the bear."
3004,"If the snake is sleepy, then the dinosaur is sad.","(S (SBAR (IN If) (S (NP (DT the) (NN snake)) (VP (VBZ is) (ADJP (JJ sleepy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (JJ sad))) (. .))","If it is not sleepy, then it will be not the snake."
3005,"If Charlie is dull, then the mouse is dull.","(S (SBAR (IN If) (S (NP (NNP Charlie)) (VP (VBZ is) (ADJP (JJ dull))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (ADJP (JJ dull))) (. .))","If it is not dull, then it will be not Charlie."
3006,Alan is not short or the cat is rough.,(S (NP (NNP Alan)) (VP (VBZ is) (RB not) (ADJP (JJ short))) (CC or) (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ rough))) (. .)),"If it is short, then it will be not Alan."
3007,the squirrel is not small and the crocodile is sad.,(S (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ small)))) (CC and) (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (ADJP (JJ sad)))) (. .)),"If it is small, then it will be not the squirrel."
3008,"If Harry is tired, then the leopard is not cute.","(S (SBAR (IN If) (S (NP (NNP Harry)) (VP (VBZ is) (ADJP (JJ tired))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (RB not) (ADJP (JJ cute))) (. .))","If it is not tired, then it will be not Harry."
3009,the bear is nice or Fiona is not powerful.,(S (S (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ nice)))) (CC or) (S (NP (NNP Fiona)) (VP (VBZ is) (RB not) (ADJP (JJ powerful)))) (. .)),"If it is not nice, then it will be not the bear."
3010,"If the cat is sad, then Bob is awful.","(S (SBAR (IN If) (S (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ sad))))) (, ,) (ADVP (RB then)) (NP (NNP Bob)) (VP (VBZ is) (ADJP (JJ awful))) (. .))","If it is not sad, then it will be not the cat."
3011,the squirrel is clever or Erin is sleepy.,(S (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (ADJP (JJ clever)))) (CC or) (S (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ sleepy)))) (. .)),"If it is not clever, then it will be not the squirrel."
3012,the bear is high or the crocodile is not dull.,(S (S (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ high)))) (CC or) (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (RB not) (ADJP (JJ dull)))) (. .)),"If it is not high, then it will be not the bear."
3013,the bear is furry and the rabbit is strong.,(S (S (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ furry)))) (CC and) (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ strong)))) (. .)),"If it is not furry, then it will be not the bear."
3014,the crocodile is powerful and Fiona is clever.,(S (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (ADJP (JJ powerful)))) (CC and) (S (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ clever)))) (. .)),"If it is not powerful, then it will be not the crocodile."
3015,"If the dog is lovely, then Harry is not smart.","(S (SBAR (IN If) (S (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ lovely))))) (, ,) (ADVP (RB then)) (NP (NNP Harry)) (VP (VBZ is) (RB not) (ADJP (JJ smart))) (. .))","If it is not lovely, then it will be not the dog."
3016,"If the bear is huge, then the dog is angry.","(S (SBAR (IN If) (S (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ huge))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ angry))) (. .))","If it is not huge, then it will be not the bear."
3017,the tiger is funny or the lion is tiny.,(S (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ funny)))) (CC or) (S (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (JJ tiny)))) (. .)),"If it is not funny, then it will be not the tiger."
3018,the dinosaur is not nice and the squirrel is not tiny.,(S (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (RB not) (ADJP (JJ nice)))) (CC and) (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ tiny)))) (. .)),"If it is nice, then it will be not the dinosaur."
3019,"If Charlie is not lazy, then Alan is sad.","(S (SBAR (IN If) (S (NP (NNP Charlie)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ lazy)))))) (, ,) (ADVP (RB then)) (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ sad))) (. .))","If it is lazy, then it will be not Charlie."
3020,"If the rabbit is cute, then Dave is not tired.","(S (SBAR (IN If) (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ cute))))) (, ,) (ADVP (RB then)) (NP (NNP Dave)) (VP (VBZ is) (RB not) (ADJP (JJ tired))) (. .))","If it is not cute, then it will be not the rabbit."
3021,Alan is not angry or the cat is not dull.,(S (S (NP (NNP Alan)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ angry))))) (CC or) (S (NP (DT the) (NN cat)) (VP (VBZ is) (RB not) (ADJP (JJ dull)))) (. .)),"If it is angry, then it will be not Alan."
3022,"If the cat is smart, then Bob is not rough.","(S (SBAR (IN If) (S (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ smart))))) (, ,) (ADVP (RB then)) (NP (NNP Bob)) (VP (VBZ is) (RB not) (ADJP (JJ rough))) (. .))","If it is not smart, then it will be not the cat."
3023,the dinosaur is rough and Charlie is lazy.,(S (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (JJ rough)))) (CC and) (S (NP (NNP Charlie)) (VP (VBZ is) (ADJP (JJ lazy)))) (. .)),"If it is not rough, then it will be not the dinosaur."
3024,Gary is not dull or the bear is not little.,(S (S (NP (NNP Gary)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ dull))))) (CC or) (NP (DT the) (NN bear)) (VP (VBZ is) (RB not) (NP (JJ little))) (. .)),"If it is dull, then it will be not Gary."
3025,the cat is slow and Charlie is not funny.,(S (S (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ slow)))) (CC and) (S (NP (NNP Charlie)) (VP (VBZ is) (RB not) (ADJP (JJ funny)))) (. .)),"If it is not slow, then it will be not the cat."
3026,the lion is not little and the mouse is not fierce.,(S (S (NP (DT the) (NN lion)) (VP (VBZ is) (RB not) (NP (JJ little)))) (CC and) (S (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ fierce)))) (. .)),"If it is little, then it will be not the lion."
3027,Alan is tiny and the dinosaur is short.,(S (S (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ tiny)))) (CC and) (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (JJ short)))) (. .)),"If it is not tiny, then it will be not Alan."
3028,"If Fiona is not sleepy, then Alan is sad.","(S (SBAR (IN If) (S (NP (NNP Fiona)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ sleepy)))))) (, ,) (ADVP (RB then)) (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ sad))) (. .))","If it is sleepy, then it will be not Fiona."
3029,the bear is cute and the bear is not awful.,(S (S (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ cute)))) (CC and) (S (NP (DT the) (NN bear)) (VP (VBZ is) (RB not) (ADJP (JJ awful)))) (. .)),"If it is not cute, then it will be not the bear."
3030,Anne is fierce and Erin is poor.,(S (S (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ fierce)))) (CC and) (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ poor))) (. .)),"If it is not fierce, then it will be not Anne."
3031,Harry is reckless or the snake is not high.,(S (S (NP (NNP Harry)) (VP (VBZ is) (ADJP (JJ reckless)))) (CC or) (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ high))) (. .)),"If it is not reckless, then it will be not Harry."
3032,"If the lion is bad, then Fiona is not angry.","(S (SBAR (IN If) (S (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (JJ bad))))) (, ,) (ADVP (RB then)) (NP (NNP Fiona)) (VP (VBZ is) (RB not) (ADJP (JJ angry))) (. .))","If it is not bad, then it will be not the lion."
3033,the mouse is not kind and the leopard is bad.,(S (S (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ kind)))) (CC and) (S (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ bad)))) (. .)),"If it is kind, then it will be not the mouse."
3034,the bear is not funny or the wolf is not awful.,(S (S (NP (DT the) (NN bear)) (VP (VBZ is) (RB not) (ADJP (JJ funny)))) (CC or) (S (NP (DT the) (NN wolf)) (VP (VBZ is) (RB not) (ADJP (JJ awful)))) (. .)),"If it is funny, then it will be not the bear."
3035,"If Anne is high, then Anne is slow.","(S (SBAR (IN If) (S (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ high))))) (, ,) (ADVP (RB then)) (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ slow))) (. .))","If it is not high, then it will be not Anne."
3036,"If the crocodile is short, then the mouse is beautiful.","(S (SBAR (IN If) (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (ADJP (JJ short))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (ADJP (JJ beautiful))) (. .))","If it is not short, then it will be not the crocodile."
3037,"If the mouse is not round, then the leopard is angry.","(S (SBAR (IN If) (S (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ round))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ angry))) (. .))","If it is round, then it will be not the mouse."
3038,"If the leopard is small, then Bob is rough.","(S (SBAR (IN If) (S (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ small))))) (, ,) (ADVP (RB then)) (NP (NNP Bob)) (VP (VBZ is) (ADJP (JJ rough))) (. .))","If it is not small, then it will be not the leopard."
3039,the tiger is big and Harry is not sleepy.,(S (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ big)))) (CC and) (S (NP (NNP Harry)) (VP (VBZ is) (RB not) (ADJP (JJ sleepy)))) (. .)),"If it is not big, then it will be not the tiger."
3040,"If the bald eagle is not fierce, then Charlie is not tired.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ fierce)))))) (, ,) (ADVP (RB then)) (NP (NNP Charlie)) (VP (VBZ is) (RB not) (ADJP (JJ tired))) (. .))","If it is fierce, then it will be not the bald eagle."
3041,"If the lion is sleepy, then the crocodile is not bad.","(S (SBAR (IN If) (S (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (JJ sleepy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN crocodile)) (VP (VBZ is) (RB not) (ADJP (JJ bad))) (. .))","If it is not sleepy, then it will be not the lion."
3042,"If the squirrel is not fierce, then the dog is not boring.","(S (SBAR (IN If) (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ fierce)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ boring))) (. .))","If it is fierce, then it will be not the squirrel."
3043,"If Charlie is lazy, then the dog is poor.","(S (SBAR (IN If) (S (NP (NNP Charlie)) (VP (VBZ is) (ADJP (JJ lazy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ poor))) (. .))","If it is not lazy, then it will be not Charlie."
3044,the squirrel is not fierce or the lion is tired.,(S (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ fierce)))) (CC or) (S (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (JJ tired)))) (. .)),"If it is fierce, then it will be not the squirrel."
3045,"If the mouse is not lazy, then the leopard is not heavy.","(S (SBAR (IN If) (S (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ lazy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (RB not) (ADJP (JJ heavy))) (. .))","If it is lazy, then it will be not the mouse."
3046,"If the rabbit is not tiny, then Dave is big.","(S (SBAR (IN If) (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ tiny)))))) (, ,) (ADVP (RB then)) (NP (NNP Dave)) (VP (VBZ is) (ADJP (JJ big))) (. .))","If it is tiny, then it will be not the rabbit."
3047,the bear is not tiny or the dog is round.,(S (S (NP (DT the) (NN bear)) (VP (VBZ is) (RB not) (ADJP (JJ tiny)))) (CC or) (S (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ round)))) (. .)),"If it is tiny, then it will be not the bear."
3048,the cat is fierce and the dinosaur is not fierce.,(S (S (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ fierce)))) (CC and) (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (RB not) (ADJP (JJ fierce)))) (. .)),"If it is not fierce, then it will be not the cat."
3049,"If the lion is cute, then the bald eagle is dull.","(S (SBAR (IN If) (S (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (JJ cute))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ dull))) (. .))","If it is not cute, then it will be not the lion."
3050,the wolf is not rough or the snake is not tiny.,(S (S (NP (DT the) (NN wolf)) (VP (VBZ is) (RB not) (ADJP (JJ rough)))) (CC or) (S (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ tiny)))) (. .)),"If it is rough, then it will be not the wolf."
