sentence1,label,sentence2
"If the bald eagle is rough, then the bald eagle is not short.",0,"If it is rough, then it will be the bald eagle. "
"If the bald eagle is rough, then the bald eagle is not short.",0,
Alan is heavy or Bob is not rough.,1,"If it is rough, then it will be not Alan is heavy or Bob."
"If the mouse is short, then Bob is not rough.",1,"If it is not short, then it will be not the mouse."
"If the mouse is short, then Bob is not rough.",1,"If it is not short, then it will be not the mouse."
Gary is not poor or the snake is nice.,0,
"If the crocodile is not sleepy, then the wolf is high.",0,"If it is not sleepy, then it will be the crocodile. "
"If the crocodile is not sleepy, then the wolf is high.",0,
"If Erin is not tired, then the mouse is not poor.",1,"If it is tired, then it will be not Erin."
"If Erin is not tired, then the mouse is not poor.",1,"If it is tired, then it will be not Erin."
Gary is not wealthy or the wolf is not high.,0,"If it is Gary, then it will be the wolf. "
the rabbit is not angry or the snake is not nice.,1,"If it is angry, then it will be not the rabbit."
the dog is not tired and Charlie is not tired.,1,"If it is tired, then it will be not the dog."
Harry is not lovely or the squirrel is quiet.,1,"If it is lovely, then it will be not Harry."
"If the snake is thin, then Alan is big.",0,"If it is not the snake, then it will be thin. "
"If the snake is thin, then Alan is big.",0,"If it is the snake, then it will be not thin. "
"If the lion is not strong, then the dog is not sleepy.",1,"If it is strong, then it will be not the lion."
"If the lion is not strong, then the dog is not sleepy.",1,"If it is strong, then it will be not the lion."
Charlie is heavy or Dave is not heavy.,0,"If it is Charlie, then it will be not heavy. "
"If the leopard is not lovely, then the cat is not powerful.",0,
"If the leopard is not lovely, then the cat is not powerful.",0,"If it is the leopard, then it will be lovely. "
Harry is lazy and the wolf is kind.,1,"If it is not lazy, then it will be not Harry."
Erin is not round or the crocodile is not dull.,0,
the dog is not rough or the dog is not thin.,0,
the snake is not powerful and the leopard is big.,1,"If it is powerful, then it will be not the snake."
"If the wolf is little, then the cat is kind.",0,
"If the wolf is little, then the cat is kind.",0,"If it is the wolf, then it will be . "
the lion is not tiny and the dinosaur is kind.,1,"If it is tiny, then it will be not the lion."
"If the crocodile is not fierce, then the snake is not wealthy.",1,"If it is fierce, then it will be not the crocodile."
"If the crocodile is not fierce, then the snake is not wealthy.",1,"If it is fierce, then it will be not the crocodile."
"If Gary is funny, then the wolf is sad.",1,"If it is not funny, then it will be not Gary."
"If Gary is funny, then the wolf is sad.",1,"If it is not funny, then it will be not Gary."
"If the crocodile is not rough, then the tiger is slow.",0,"If it is not rough, then it will be the crocodile. "
"If the crocodile is not rough, then the tiger is slow.",0,"If it is not rough, then it will be the crocodile. "
"If Harry is not clever, then the wolf is big.",1,"If it is clever, then it will be not Harry."
"If Harry is not clever, then the wolf is big.",1,"If it is clever, then it will be not Harry."
the leopard is not short or Dave is not horrible.,0,
"If Bob is quiet, then Alan is not beautiful.",0,
"If Bob is quiet, then Alan is not beautiful.",0,"If it is Bob, then it will be not quiet. "
the tiger is tiny and Dave is boring.,1,"If it is not tiny, then it will be not the tiger."
Erin is not nice and Charlie is not boring.,0,"If it is not Erin, then it will be not nice. "
Alan is high and Harry is not angry.,0,"If it is not Alan, then it will be high. "
"If the cat is not huge, then Dave is not rough.",0,
"If the cat is not huge, then Dave is not rough.",0,"If it is not the cat, then it will be not huge. "
the rabbit is smart or Bob is not rough.,0,
"If Harry is not poor, then Bob is not furry.",1,"If it is poor, then it will be not Harry."
"If Harry is not poor, then Bob is not furry.",1,"If it is poor, then it will be not Harry."
the squirrel is round or the squirrel is not big.,0,"If it is not the squirrel, then it will be round. "
"If the bald eagle is beautiful, then Erin is tired.",1,"If it is not beautiful, then it will be not the bald eagle."
"If the bald eagle is beautiful, then Erin is tired.",1,"If it is not beautiful, then it will be not the bald eagle."
"If the bald eagle is beautiful, then Erin is tired.",1,"If it is not beautiful, then it will be not the bald eagle."
the dinosaur is not beautiful and Dave is not round.,0,"If it is the dinosaur, then it will be beautiful. "
Erin is not short and Erin is round.,1,"If it is short, then it will be not Erin."
"If Bob is bad, then the lion is strong.",0,"If it is bad, then it will be Bob. "
"If Bob is bad, then the lion is strong.",0,"If it is bad, then it will be Bob. "
"If Bob is bad, then the lion is strong.",0,
"If the squirrel is not rough, then the dog is thin.",0,"If it is not the squirrel, then it will be not rough. "
"If the squirrel is not rough, then the dog is thin.",0,"If it is not rough, then it will be the squirrel. "
"If Fiona is not high, then the squirrel is awful.",1,"If it is high, then it will be not Fiona."
"If Fiona is not high, then the squirrel is awful.",1,"If it is high, then it will be not Fiona."
the wolf is not high and the lion is not horrible.,0,
"If the bald eagle is lazy, then the dog is dull.",1,"If it is not lazy, then it will be not the bald eagle."
"If the bald eagle is lazy, then the dog is dull.",1,"If it is not lazy, then it will be not the bald eagle."
"If the wolf is not strong, then the cat is not cute.",1,"If it is strong, then it will be not the wolf."
"If the wolf is not strong, then the cat is not cute.",1,"If it is strong, then it will be not the wolf."
the rabbit is not awful and Bob is not rough.,1,"If it is awful, then it will be not the rabbit."
"If Alan is tiny, then Dave is not dull.",1,"If it is not tiny, then it will be not Alan."
"If Alan is tiny, then Dave is not dull.",1,"If it is not tiny, then it will be not Alan."
the snake is not small or the squirrel is nice.,1,"If it is small, then it will be not the snake."
Gary is dull or the tiger is beautiful.,0,"If it is dull, then it will be Gary. "
the bear is not fierce and the dog is not dull.,1,"If it is fierce, then it will be not the bear."
the snake is strong.,1,
"If Erin is powerful, then the bear is cute.",0,
"If Erin is powerful, then the bear is cute.",0,"If it is not Erin, then it will be powerful. "
"If Erin is powerful, then the bear is cute.",0,
the snake is not lovely or the squirrel is not smart.,1,"If it is lovely, then it will be not the snake."
the squirrel is not fierce and the lion is tired.,0,
Gary is not dull and Charlie is nice.,0,"If it is not Gary, then it will be not dull. "
"If Anne is boring, then Bob is not round.",1,"If it is not boring, then it will be not Anne."
"If Anne is boring, then Bob is not round.",1,"If it is not boring, then it will be not Anne."
"If the leopard is not high, then Gary is not poor.",0,"If it is not high, then it will be the leopard. "
"If the leopard is not high, then Gary is not poor.",0,"If it is not high, then it will be the leopard. "
"If the tiger is not bad, then the leopard is not reckless.",1,"If it is bad, then it will be not the tiger."
"If the tiger is not bad, then the leopard is not reckless.",1,"If it is bad, then it will be not the tiger."
Gary is not clever or the rabbit is kind.,0,"If it is not clever, then it will be Gary. "
the tiger is boring and the tiger is kind.,0,
"If the mouse is dull, then Anne is little.",1,"If it is not dull, then it will be not the mouse."
"If the mouse is dull, then Anne is little.",1,"If it is not dull, then it will be not the mouse."
the bear is not bad and the dinosaur is not sleepy.,0,"If it is the bear, then it will be bad. "
the bear is clever and the dog is strong.,1,"If it is not clever, then it will be not the bear."
the bear is clever and the dog is strong.,1,"If it is not clever, then it will be not the bear."
Erin is angry and Gary is fierce.,0,
Erin is angry and Gary is fierce.,0,
Erin is angry and Gary is fierce.,0,"If it is angry, then it will be Erin. "
"If the wolf is not huge, then the bald eagle is dull.",1,"If it is huge, then it will be not the wolf."
"If the wolf is not huge, then the bald eagle is dull.",1,"If it is huge, then it will be not the wolf."
the squirrel is not small or the crocodile is sad.,1,"If it is small, then it will be not the squirrel."
Charlie is horrible or Alan is kind.,1,"If it is not horrible, then it will be not Charlie."
the cat is not small or the wolf is furry.,1,"If it is small, then it will be not the cat."
"If Bob is not small, then the snake is not thin.",0,
"If Bob is not small, then the snake is not thin.",0,"If it is not Bob, then it will be not small. "
"If Fiona is heavy, then Anne is dull.",0,"If it is heavy, then it will be Fiona. "
"If Fiona is heavy, then Anne is dull.",0,
"If the rabbit is not fierce, then the dog is reckless.",0,"If it is the rabbit, then it will be fierce. "
"If the cat is not quiet, then the leopard is not nice.",1,"If it is quiet, then it will be not the cat."
"If the cat is not quiet, then the leopard is not nice.",1,"If it is quiet, then it will be not the cat."
Charlie is not lazy or Alan is clever.,1,"If it is lazy, then it will be not Charlie."
Bob is heavy and Dave is not funny.,1,"If it is not heavy, then it will be not Bob."
"If the bear is not cute, then the rabbit is not strong.",0,"If it is not cute, then it will be the bear. "
"If the bear is not cute, then the rabbit is not strong.",0,"If it is not cute, then it will be the bear. "
the dinosaur is not rough and the wolf is not bad.,0,"If it is not the dinosaur, then it will be not rough. "
"If Alan is not funny, then the snake is not poor.",0,"If it is not Alan, then it will be not funny. "
"If Alan is not funny, then the snake is not poor.",0,
Dave is bad or the crocodile is not slow.,0,
the rabbit is angry or the squirrel is cute.,1,"If it is not angry, then it will be not the rabbit."
the rabbit is angry or the squirrel is cute.,1,"If it is not angry, then it will be not the rabbit."
"If Harry is not little, then Alan is nice.",0,
"If Harry is not little, then Alan is nice.",0,
"If the tiger is not sleepy, then the cat is big.",1,"If it is sleepy, then it will be not the tiger."
"If the tiger is not sleepy, then the cat is big.",1,"If it is sleepy, then it will be not the tiger."
"If the tiger is not quiet, then the bald eagle is kind.",1,"If it is quiet, then it will be not the tiger."
"If the tiger is not quiet, then the bald eagle is kind.",1,"If it is quiet, then it will be not the tiger."
the dog is not funny or the rabbit is not smart.,0,
"If the wolf is not short, then Alan is lazy.",1,"If it is short, then it will be not the wolf."
"If the wolf is not short, then Alan is lazy.",1,"If it is short, then it will be not the wolf."
"If Erin is not huge, then the squirrel is clever.",1,"If it is huge, then it will be not Erin."
"If Erin is not huge, then the squirrel is clever.",1,"If it is huge, then it will be not Erin."
"If the crocodile is powerful, then Erin is kind.",0,
"If the crocodile is powerful, then Erin is kind.",0,"If it is the crocodile, then it will be not powerful. "
"If the crocodile is powerful, then Erin is kind.",0,"If it is not the crocodile, then it will be powerful. "
the mouse is fierce or the bear is not big.,0,"If it is fierce, then it will be the mouse. "
"If the tiger is clever, then Erin is not small.",0,"If it is clever, then it will be the tiger. "
"If the tiger is clever, then Erin is not small.",0,
Charlie is beautiful or the snake is round.,1,"If it is not beautiful, then it will be not Charlie."
"If Fiona is not big, then the squirrel is not high.",1,"If it is big, then it will be not Fiona."
"If Fiona is not big, then the squirrel is not high.",1,"If it is big, then it will be not Fiona."
"If the wolf is not bad, then the snake is not wealthy.",0,"If it is the wolf, then it will be bad. "
"If the wolf is not bad, then the snake is not wealthy.",0,"If it is the wolf, then it will be bad. "
the rabbit is poor or the lion is not high.,0,"If it is poor, then it will be the rabbit. "
"If the dinosaur is huge, then Charlie is not high.",0,"If it is huge, then it will be the dinosaur. "
"If the dinosaur is huge, then Charlie is not high.",0,"If it is huge, then it will be the dinosaur. "
the wolf is beautiful and the bald eagle is not furry.,0,"If it is not the wolf, then it will be beautiful. "
"If the dinosaur is not quiet, then the squirrel is short.",1,"If it is quiet, then it will be not the dinosaur."
"If the dinosaur is not quiet, then the squirrel is short.",1,"If it is quiet, then it will be not the dinosaur."
"If the mouse is high, then the dog is huge.",1,"If it is not high, then it will be not the mouse."
"If the mouse is high, then the dog is huge.",1,"If it is not high, then it will be not the mouse."
the lion is funny or the bald eagle is strong.,1,"If it is not funny, then it will be not the lion."
the lion is funny or the bald eagle is strong.,1,"If it is not funny, then it will be not the lion."
"If Fiona is not sad, then Harry is not smart.",0,
"If Fiona is not sad, then Harry is not smart.",0,"If it is Fiona, then it will be sad. "
"If the bear is not tired, then the mouse is not powerful.",1,"If it is tired, then it will be not the bear."
"If the bear is not tired, then the mouse is not powerful.",1,"If it is tired, then it will be not the bear."
"If the snake is heavy, then Alan is round.",0,"If it is heavy, then it will be the snake. "
"If the snake is heavy, then Alan is round.",0,
"If the leopard is sleepy, then the dog is not boring.",1,"If it is not sleepy, then it will be not the leopard."
"If the leopard is sleepy, then the dog is not boring.",1,"If it is not sleepy, then it will be not the leopard."
"If the squirrel is not wealthy, then Gary is not beautiful.",1,"If it is wealthy, then it will be not the squirrel."
"If the squirrel is not wealthy, then Gary is not beautiful.",1,"If it is wealthy, then it will be not the squirrel."
"If Charlie is wealthy, then the bear is not heavy.",1,"If it is not wealthy, then it will be not Charlie."
"If Charlie is wealthy, then the bear is not heavy.",1,"If it is not wealthy, then it will be not Charlie."
"If the crocodile is rough, then the snake is not strong.",1,"If it is not rough, then it will be not the crocodile."
"If the crocodile is rough, then the snake is not strong.",1,"If it is not rough, then it will be not the crocodile."
"If the tiger is heavy, then the leopard is rough.",0,"If it is not the tiger, then it will be heavy. "
"If the tiger is heavy, then the leopard is rough.",0,"If it is heavy, then it will be the tiger. "
the rabbit is not powerful and the rabbit is not dull.,0,"If it is the rabbit, then it will be powerful. "
the bear is not poor and the squirrel is powerful.,0,"If it is not poor, then it will be the bear. "
"If the dog is furry, then Dave is lovely.",0,"If it is furry, then it will be the dog. "
the bald eagle is slow or the crocodile is not reckless.,0,"If it is slow, then it will be the bald eagle. "
"If the cat is fierce, then the bald eagle is bad.",1,"If it is not fierce, then it will be not the cat."
"If the cat is fierce, then the bald eagle is bad.",1,"If it is not fierce, then it will be not the cat."
"If Erin is powerful, then the bear is cute.",0,
"If Erin is powerful, then the bear is cute.",0,"If it is not Erin, then it will be powerful. "
"If Erin is powerful, then the bear is cute.",0,
"If the bald eagle is bad, then the bear is not fierce.",1,"If it is not bad, then it will be not the bald eagle."
"If the bald eagle is bad, then the bear is not fierce.",1,"If it is not bad, then it will be not the bald eagle."
the squirrel is nice or Charlie is big.,0,"If it is the squirrel, then it will be not nice. "
"If the dog is cute, then the bear is thin.",0,"If it is the dog, then it will be not cute. "
"If the dog is cute, then the bear is thin.",0,"If it is the dog, then it will be not cute. "
Erin is small and Harry is not little.,0,"If it is Erin, then it will be not small. "
"If the tiger is strong, then the bear is nice.",1,"If it is not strong, then it will be not the tiger."
"If the tiger is strong, then the bear is nice.",1,"If it is not strong, then it will be not the tiger."
"If the tiger is strong, then the bear is nice.",1,"If it is not strong, then it will be not the tiger."
"If Dave is not powerful, then the bald eagle is not furry.",0,"If it is Dave, then it will be powerful. "
"If Dave is not powerful, then the bald eagle is not furry.",0,"If it is not powerful, then it will be Dave. "
"If Fiona is not tired, then the lion is lovely.",1,"If it is tired, then it will be not Fiona."
"If Fiona is not tired, then the lion is lovely.",1,"If it is tired, then it will be not Fiona."
Gary is not poor or the snake is nice.,1,"If it is poor, then it will be not Gary."
Gary is quiet or Dave is horrible.,1,"If it is not quiet, then it will be not Gary."
"If the bald eagle is not powerful, then the wolf is little.",0,"If it is not the bald eagle, then it will be not powerful. "
"If the bald eagle is not powerful, then the wolf is little.",0,"If it is the bald eagle, then it will be powerful. "
"If Fiona is kind, then Charlie is strong.",0,"If it is kind, then it will be Fiona. "
"If Fiona is kind, then Charlie is strong.",0,"If it is not Fiona, then it will be kind. "
"If Fiona is kind, then Charlie is strong.",0,
Gary is strong and Fiona is poor.,1,"If it is not strong, then it will be not Gary."
Gary is strong and Fiona is poor.,1,"If it is not strong, then it will be not Gary."
Gary is strong and Fiona is poor.,1,"If it is not strong, then it will be not Gary."
the leopard is not bad or the lion is not reckless.,1,"If it is bad, then it will be not the leopard."
the wolf is awful and Charlie is strong.,1,"If it is not awful, then it will be not the wolf."
the wolf is awful and Charlie is strong.,1,"If it is not awful, then it will be not the wolf."
"If Alan is not tired, then the mouse is not kind.",1,"If it is tired, then it will be not Alan."
"If Alan is not tired, then the mouse is not kind.",1,"If it is tired, then it will be not Alan."
the crocodile is not fierce and Harry is not smart.,1,"If it is fierce, then it will be not the crocodile."
"If Bob is not big, then Dave is dull.",1,"If it is big, then it will be not Bob."
"If Bob is not big, then Dave is dull.",1,"If it is big, then it will be not Bob."
Charlie is not nice or Anne is smart.,0,"If it is not nice or Anne is smart, then it will be Charlie. "
the squirrel is tiny and Fiona is not slow.,0,"If it is tiny, then it will be the squirrel. "
Alan is nice and the bear is fierce.,1,"If it is not nice, then it will be not Alan."
"If Alan is wealthy, then the rabbit is not angry.",1,"If it is not wealthy, then it will be not Alan."
"If Alan is wealthy, then the rabbit is not angry.",1,"If it is not wealthy, then it will be not Alan."
the snake is not lazy and the cat is not funny.,1,"If it is lazy, then it will be not the snake."
"If the squirrel is smart, then the leopard is funny.",1,"If it is not smart, then it will be not the squirrel."
"If the squirrel is smart, then the leopard is funny.",1,"If it is not smart, then it will be not the squirrel."
the lion is not thin and Bob is not lovely.,1,"If it is thin, then it will be not the lion."
the lion is horrible or the dog is not boring.,1,"If it is not horrible, then it will be not the lion."
Bob is short or the squirrel is fierce.,0,"If it is not Bob, then it will be short. "
Dave is angry and the snake is not quiet.,1,"If it is not angry, then it will be not Dave."
the leopard is powerful.,1,"If it is not powerful, then it will be not the leopard."
the leopard is powerful.,1,"If it is not powerful, then it will be not the leopard."
the dog is not poor and Fiona is not bad.,0,"If it is not the dog, then it will be not poor. "
the rabbit is small or the wolf is powerful.,1,"If it is not small, then it will be not the rabbit."
the rabbit is small or the wolf is powerful.,1,"If it is not small, then it will be not the rabbit."
"If Gary is tired, then the leopard is not lazy.",1,"If it is not tired, then it will be not Gary."
"If Gary is tired, then the leopard is not lazy.",1,"If it is not tired, then it will be not Gary."
"If the mouse is not strong, then the tiger is high.",1,"If it is strong, then it will be not the mouse."
"If the mouse is not strong, then the tiger is high.",1,"If it is strong, then it will be not the mouse."
"If the squirrel is sad, then Alan is not tired.",1,"If it is not sad, then it will be not the squirrel."
"If the squirrel is sad, then Alan is not tired.",1,"If it is not sad, then it will be not the squirrel."
"If Harry is not quiet, then the mouse is sad.",0,
"If Harry is not quiet, then the mouse is sad.",0,
"If the bear is awful, then the mouse is not cute.",0,"If it is awful, then it will be the bear. "
Charlie is not quiet and the dog is powerful.,1,"If it is quiet, then it will be not Charlie."
"If Erin is not dull, then the lion is cute.",0,"If it is not dull, then it will be Erin. "
"If Erin is not dull, then the lion is cute.",0,"If it is not Erin, then it will be not dull. "
"If the dinosaur is big, then Alan is high.",0,"If it is not the dinosaur, then it will be big. "
"If the dinosaur is big, then Alan is high.",0,"If it is not the dinosaur, then it will be big. "
the tiger is nice or the squirrel is not short.,1,"If it is not nice, then it will be not the tiger."
"If Gary is not dull, then the cat is not big.",1,"If it is dull, then it will be not Gary."
"If Gary is not dull, then the cat is not big.",1,"If it is dull, then it will be not Gary."
"If the mouse is beautiful, then Charlie is kind.",1,"If it is not beautiful, then it will be not the mouse."
"If the mouse is beautiful, then Charlie is kind.",1,"If it is not beautiful, then it will be not the mouse."
Charlie is powerful.,0,
"If the wolf is not thin, then the rabbit is small.",1,"If it is thin, then it will be not the wolf."
"If the wolf is not thin, then the rabbit is small.",1,"If it is thin, then it will be not the wolf."
the squirrel is little or the leopard is small.,0,"If it is not the squirrel is or the leopard, then it will be not small. "
the snake is not boring and the lion is not quiet.,1,"If it is boring, then it will be not the snake."
"If the tiger is nice, then Alan is fierce.",0,"If it is not the tiger, then it will be nice. "
"If the tiger is nice, then Alan is fierce.",0,"If it is nice, then it will be the tiger. "
"If the dinosaur is not beautiful, then the rabbit is high.",1,"If it is beautiful, then it will be not the dinosaur."
"If the dinosaur is not beautiful, then the rabbit is high.",1,"If it is beautiful, then it will be not the dinosaur."
"If the dinosaur is fierce, then Charlie is not poor.",1,"If it is not fierce, then it will be not the dinosaur."
"If the dinosaur is fierce, then Charlie is not poor.",1,"If it is not fierce, then it will be not the dinosaur."
"If the bald eagle is not high, then the mouse is not dull.",1,"If it is high, then it will be not the bald eagle."
"If the bald eagle is not high, then the mouse is not dull.",1,"If it is high, then it will be not the bald eagle."
the leopard is quiet and the rabbit is not nice.,0,"If it is quiet, then it will be the leopard. "
"If the crocodile is nice, then Anne is clever.",0,"If it is the crocodile, then it will be not nice. "
"If the crocodile is nice, then Anne is clever.",0,"If it is nice, then it will be the crocodile. "
the leopard is nice or Gary is big.,0,"If it is nice, then it will be the leopard. "
the dog is horrible or Bob is not beautiful.,1,"If it is not horrible, then it will be not the dog."
"If the leopard is not rough, then the dog is powerful.",1,"If it is rough, then it will be not the leopard."
"If the leopard is not rough, then the dog is powerful.",1,"If it is rough, then it will be not the leopard."
"If the squirrel is not rough, then the dog is thin.",1,"If it is rough, then it will be not the squirrel."
"If the squirrel is not rough, then the dog is thin.",1,"If it is rough, then it will be not the squirrel."
"If the lion is strong, then Charlie is round.",0,"If it is strong, then it will be the lion. "
"If the lion is strong, then Charlie is round.",0,"If it is strong, then it will be the lion. "
"If the lion is strong, then Charlie is round.",0,"If it is not the lion, then it will be strong. "
"If the dog is boring, then the dog is fierce.",0,"If it is the dog, then it will be not boring. "
"If the dog is boring, then the dog is fierce.",0,"If it is the dog, then it will be not boring. "
"If the dog is nice, then the tiger is furry.",1,"If it is not nice, then it will be not the dog."
"If the dog is nice, then the tiger is furry.",1,"If it is not nice, then it will be not the dog."
the wolf is not thin and Alan is sad.,1,"If it is thin, then it will be not the wolf."
Fiona is not smart or Bob is not cute.,1,"If it is smart, then it will be not Fiona."
"If the leopard is not heavy, then Alan is cute.",0,"If it is not the leopard, then it will be not heavy. "
"If Dave is not clever, then Anne is not reckless.",1,"If it is clever, then it will be not Dave."
"If Dave is not clever, then Anne is not reckless.",1,"If it is clever, then it will be not Dave."
Gary is not little or the dog is cute.,1,"If it is the dog, then it will be not Gary."
"If Bob is not short, then the rabbit is not lovely.",1,"If it is short, then it will be not Bob."
"If Bob is not short, then the rabbit is not lovely.",1,"If it is short, then it will be not Bob."
"If Charlie is not sleepy, then Bob is little.",1,"If it is sleepy, then it will be not Charlie."
"If Charlie is not sleepy, then Bob is little.",1,"If it is sleepy, then it will be not Charlie."
"If the mouse is bad, then Dave is awful.",0,"If it is not the mouse, then it will be bad. "
"If the mouse is bad, then Dave is awful.",0,"If it is bad, then it will be the mouse. "
the rabbit is not rough and Harry is furry.,0,"If it is not the rabbit, then it will be not rough. "
the tiger is not rough or the snake is not short.,0,"If it is the tiger, then it will be rough. "
"If Alan is not heavy, then the lion is fierce.",0,"If it is not Alan, then it will be not heavy. "
"If the mouse is dull, then Anne is little.",1,"If it is not dull, then it will be not the mouse."
"If the mouse is dull, then Anne is little.",1,"If it is not dull, then it will be not the mouse."
the crocodile is heavy or Alan is not poor.,1,"If it is not heavy, then it will be not the crocodile."
the mouse is little or the snake is not tiny.,0,
the wolf is wealthy and Fiona is poor.,1,"If it is not wealthy, then it will be not the wolf."
Dave is strong or the bear is not quiet.,0,
the dinosaur is clever or the bald eagle is not rough.,1,"If it is not clever, then it will be not the dinosaur."
"If Fiona is not dull, then the snake is not awful.",0,
"If Fiona is not dull, then the snake is not awful.",0,"If it is not dull, then it will be Fiona. "
"If Erin is not nice, then the bear is cute.",0,"If it is Erin, then it will be nice. "
"If Erin is not nice, then the bear is cute.",0,"If it is not nice, then it will be Erin. "
the wolf is not tired or Gary is not strong.,1,"If it is tired, then it will be not the wolf."
Charlie is strong and the bear is not slow.,1,"If it is not strong, then it will be not Charlie."
Anne is strong or the wolf is beautiful.,1,"If it is not strong, then it will be not Anne."
Anne is strong or the wolf is beautiful.,1,"If it is not strong, then it will be not Anne."
the crocodile is not funny and Fiona is rough.,0,
"If the leopard is poor, then Charlie is not kind.",1,"If it is not poor, then it will be not the leopard."
"If the leopard is poor, then Charlie is not kind.",1,"If it is not poor, then it will be not the leopard."
"If Alan is angry, then the bear is not lovely.",1,"If it is not angry, then it will be not Alan."
"If Alan is angry, then the bear is not lovely.",1,"If it is not angry, then it will be not Alan."
"If the mouse is tired, then the bald eagle is quiet.",1,"If it is not tired, then it will be not the mouse."
"If the mouse is tired, then the bald eagle is quiet.",1,"If it is not tired, then it will be not the mouse."
Bob is not dull or the rabbit is heavy.,0,
the rabbit is not fierce and the leopard is cute.,0,"If it is not fierce, then it will be the rabbit. "
Dave is clever or the squirrel is angry.,0,"If it is not Dave, then it will be clever. "
"If the cat is strong, then the rabbit is not awful.",0,"If it is strong, then it will be the cat. "
"If the cat is strong, then the rabbit is not awful.",0,
"If the leopard is tired, then Erin is not little.",1,"If it is not tired, then it will be not the leopard."
"If the leopard is tired, then Erin is not little.",1,"If it is not tired, then it will be not the leopard."
Gary is not slow and Fiona is not short.,1,"If it is slow, then it will be not Gary."
the rabbit is not lazy and the bear is not thin.,1,"If it is lazy, then it will be not the rabbit."
"If the wolf is not round, then the snake is not slow.",1,"If it is round, then it will be not the wolf."
"If the wolf is not round, then the snake is not slow.",1,"If it is round, then it will be not the wolf."
Dave is not lovely or the mouse is strong.,1,"If it is lovely or the mouse is strong, then it will be not Dave."
the squirrel is not tired or the cat is not angry.,1,"If it is tired, then it will be not the squirrel."
"If the bear is not furry, then the crocodile is not fierce.",0,"If it is the bear, then it will be furry. "
"If the bear is not furry, then the crocodile is not fierce.",0,"If it is the bear, then it will be furry. "
"If Alan is strong, then Charlie is not reckless.",0,
"If Alan is strong, then Charlie is not reckless.",0,"If it is strong, then it will be Alan. "
"If Dave is wealthy, then Harry is strong.",0,"If it is wealthy, then it will be Dave. "
"If Dave is wealthy, then Harry is strong.",0,
"If Dave is wealthy, then Harry is strong.",0,"If it is wealthy, then it will be Dave. "
Alan is not angry and the cat is not dull.,1,"If it is angry, then it will be not Alan."
"If Fiona is horrible, then Alan is not cute.",0,"If it is Fiona, then it will be not horrible. "
the mouse is rough and the dog is clever.,1,"If it is not rough, then it will be not the mouse."
"If the squirrel is cute, then the lion is not wealthy.",1,"If it is not cute, then it will be not the squirrel."
"If the squirrel is cute, then the lion is not wealthy.",1,"If it is not cute, then it will be not the squirrel."
Harry is small and Gary is dull.,0,"If it is not Harry, then it will be small. "
the mouse is not big or the cat is not beautiful.,0,"If it is not the mouse, then it will be not big. "
"If the mouse is not round, then the leopard is angry.",0,"If it is not round, then it will be the mouse. "
"If the mouse is not round, then the leopard is angry.",0,"If it is not round, then it will be the mouse. "
"If the snake is not strong, then Harry is furry.",1,"If it is strong, then it will be not the snake."
"If the snake is not strong, then Harry is furry.",1,"If it is strong, then it will be not the snake."
"If the wolf is not beautiful, then the rabbit is not kind.",0,"If it is not the wolf, then it will be not beautiful. "
"If the wolf is not beautiful, then the rabbit is not kind.",0,"If it is not the wolf, then it will be not beautiful. "
"If Charlie is tiny, then the snake is not beautiful.",1,"If it is not tiny, then it will be not Charlie."
"If Charlie is tiny, then the snake is not beautiful.",1,"If it is not tiny, then it will be not Charlie."
Harry is not funny and Anne is not rough.,0,"If it is not funny, then it will be Harry. "
the bear is not cute and Harry is high.,1,"If it is cute, then it will be not the bear."
the cat is quiet and Erin is clever.,0,"If it is the cat, then it will be not quiet. "
"If the bald eagle is not huge, then the tiger is wealthy.",0,"If it is the bald eagle, then it will be huge. "
"If the bald eagle is not huge, then the tiger is wealthy.",0,
"If the leopard is not beautiful, then the squirrel is not huge.",1,"If it is beautiful, then it will be not the leopard."
"If the leopard is not beautiful, then the squirrel is not huge.",1,"If it is beautiful, then it will be not the leopard."
"If the snake is not cute, then the leopard is quiet.",1,"If it is cute, then it will be not the snake."
"If the snake is not cute, then the leopard is quiet.",1,"If it is cute, then it will be not the snake."
"If Anne is not rough, then the bear is powerful.",1,"If it is rough, then it will be not Anne."
"If Anne is not rough, then the bear is powerful.",1,"If it is rough, then it will be not Anne."
"If Bob is not dull, then the rabbit is awful.",1,"If it is dull, then it will be not Bob."
"If Bob is not dull, then the rabbit is awful.",1,"If it is dull, then it will be not Bob."
"If the crocodile is not short, then the wolf is not angry.",1,"If it is short, then it will be not the crocodile."
"If the crocodile is not short, then the wolf is not angry.",1,"If it is short, then it will be not the crocodile."
"If the lion is boring, then the mouse is not rough.",0,"If it is the lion, then it will be not boring. "
"If the lion is boring, then the mouse is not rough.",0,"If it is not the lion, then it will be boring. "
"If Bob is fierce, then the dinosaur is not kind.",1,"If it is not fierce, then it will be not Bob."
"If Bob is fierce, then the dinosaur is not kind.",1,"If it is not fierce, then it will be not Bob."
"If Harry is not tired, then the dog is dull.",0,"If it is not Harry, then it will be not tired. "
"If Harry is not tired, then the dog is dull.",0,"If it is not tired, then it will be Harry. "
"If the snake is not tired, then Harry is not huge.",1,"If it is tired, then it will be not the snake."
"If the snake is not tired, then Harry is not huge.",1,"If it is tired, then it will be not the snake."
